_ID,fecha,Nombre_Centro,Contador_Asistieron
154,5/12/2018,Brookline Community Center,30
155,5/12/2018,West Penn Community Center,34
156,5/11/2018,Phillips Community Center,91
157,5/11/2018,Paulson Community Center,28
158,5/11/2018,Ormsby Community Center,41
159,5/11/2018,Brookline Community Center,24
160,5/11/2018,West Penn Community Center,54
161,5/11/2018,Warrington Community Center,16
162,5/10/2018,Ormsby Community Center,47
163,5/10/2018,Paulson Community Center,26
164,5/10/2018,Phillips Community Center,118
165,5/10/2018,Ammon Community Center,63
166,5/10/2018,Brookline Community Center,44
167,5/10/2018,Warrington Community Center,22
168,5/10/2018,West Penn Community Center,113
169,5/9/2018,Phillips Community Center,150
170,5/9/2018,Paulson Community Center,29
171,5/9/2018,Ormsby Community Center,39
172,5/9/2018,Ammon Community Center,44
173,5/9/2018,Brookline Community Center,56
174,5/9/2018,West Penn Community Center,61
175,5/9/2018,Warrington Community Center,15
176,5/8/2018,Ormsby Community Center,34
177,5/8/2018,Paulson Community Center,29
178,5/8/2018,Phillips Community Center,150
179,5/8/2018,Ammon Community Center,98
180,5/8/2018,Brookline Community Center,68
181,5/8/2018,Warrington Community Center,27
182,5/8/2018,West Penn Community Center,76
183,5/7/2018,Phillips Community Center,176
184,5/7/2018,Paulson Community Center,29
185,5/7/2018,Ormsby Community Center,21
186,5/7/2018,Ammon Community Center,56
187,5/7/2018,Brookline Community Center,66
188,5/7/2018,West Penn Community Center,34
189,5/7/2018,Warrington Community Center,24
190,5/5/2018,Phillips Community Center,26
191,5/5/2018,Brookline Community Center,20
192,5/5/2018,West Penn Community Center,52
193,5/4/2018,Phillips Community Center,96
194,5/4/2018,Ormsby Community Center,40
195,5/4/2018,Paulson Community Center,27
196,5/4/2018,Ammon Community Center,84
197,5/4/2018,Brookline Community Center,27
198,5/4/2018,West Penn Community Center,46
199,5/4/2018,Warrington Community Center,7
200,5/3/2018,Paulson Community Center,17
201,5/3/2018,Ormsby Community Center,52
202,5/3/2018,Phillips Community Center,127
203,5/3/2018,Ammon Community Center,92
204,5/3/2018,Brookline Community Center,47
205,5/3/2018,Jefferson Community Center,25
206,5/3/2018,Warrington Community Center,14
207,5/3/2018,West Penn Community Center,124
208,5/2/2018,Phillips Community Center,136
209,5/2/2018,Ormsby Community Center,48
210,5/2/2018,Paulson Community Center,30
211,5/2/2018,Ammon Community Center,74
212,5/2/2018,Jefferson Community Center,49
213,5/2/2018,Brookline Community Center,58
214,5/2/2018,West Penn Community Center,51
215,5/2/2018,Warrington Community Center,14
216,5/1/2018,Paulson Community Center,13
217,5/1/2018,Ormsby Community Center,43
218,5/1/2018,Phillips Community Center,123
219,5/1/2018,Ammon Community Center,99
220,5/1/2018,Brookline Community Center,49
221,5/1/2018,Magee Community Center,2
222,5/1/2018,Warrington Community Center,14
223,5/1/2018,West Penn Community Center,52
224,4/30/2018,Phillips Community Center,128
225,4/30/2018,Ormsby Community Center,61
226,4/30/2018,Paulson Community Center,16
227,4/30/2018,Ammon Community Center,27
228,4/30/2018,Brookline Community Center,48
229,4/30/2018,Jefferson Community Center,28
230,4/30/2018,West Penn Community Center,42
231,4/30/2018,Warrington Community Center,25
232,4/28/2018,Phillips Community Center,12
233,4/28/2018,Ammon Community Center,14
234,4/28/2018,Brookline Community Center,13
235,4/28/2018,West Penn Community Center,44
236,4/27/2018,Phillips Community Center,107
237,4/27/2018,Paulson Community Center,27
238,4/27/2018,Ormsby Community Center,63
239,4/27/2018,Ammon Community Center,86
240,4/27/2018,Brookline Community Center,46
241,4/27/2018,Jefferson Community Center,14
242,4/27/2018,West Penn Community Center,37
243,4/27/2018,Warrington Community Center,18
244,4/26/2018,Ormsby Community Center,45
245,4/26/2018,Paulson Community Center,21
246,4/26/2018,Phillips Community Center,101
247,4/26/2018,Ammon Community Center,98
248,4/26/2018,Jefferson Community Center,32
249,4/26/2018,Brookline Community Center,52
250,4/26/2018,Warrington Community Center,28
251,4/26/2018,West Penn Community Center,113
252,4/25/2018,Phillips Community Center,199
253,4/25/2018,Paulson Community Center,22
254,4/25/2018,Ormsby Community Center,57
255,4/25/2018,Ammon Community Center,91
256,4/25/2018,Brookline Community Center,57
257,4/25/2018,Jefferson Community Center,31
258,4/25/2018,West Penn Community Center,71
259,4/25/2018,Warrington Community Center,20
260,4/24/2018,Ormsby Community Center,35
261,4/24/2018,Paulson Community Center,16
262,4/24/2018,Phillips Community Center,112
263,4/24/2018,Ammon Community Center,114
264,4/24/2018,Jefferson Community Center,21
265,4/24/2018,Brookline Community Center,75
266,4/24/2018,Warrington Community Center,38
267,4/24/2018,West Penn Community Center,149
268,4/23/2018,Phillips Community Center,163
269,4/23/2018,Paulson Community Center,11
270,4/23/2018,Ormsby Community Center,61
271,4/23/2018,Ammon Community Center,94
272,4/23/2018,Brookline Community Center,65
273,4/23/2018,Jefferson Community Center,41
274,4/23/2018,West Penn Community Center,68
275,4/23/2018,Warrington Community Center,41
276,4/21/2018,Phillips Community Center,15
277,4/21/2018,Brookline Community Center,28
278,4/21/2018,West Penn Community Center,38
279,4/20/2018,Phillips Community Center,128
280,4/20/2018,Ormsby Community Center,75
281,4/20/2018,Paulson Community Center,22
282,4/20/2018,Ammon Community Center,92
283,4/20/2018,Brookline Community Center,39
284,4/20/2018,Jefferson Community Center,27
285,4/20/2018,Magee Community Center,17
286,4/20/2018,West Penn Community Center,38
287,4/20/2018,Warrington Community Center,28
288,4/19/2018,Paulson Community Center,20
289,4/19/2018,Ormsby Community Center,56
290,4/19/2018,Phillips Community Center,101
291,4/19/2018,Ammon Community Center,100
292,4/19/2018,Magee Community Center,13
293,4/19/2018,Jefferson Community Center,26
294,4/19/2018,Brookline Community Center,51
295,4/19/2018,Warrington Community Center,41
296,4/19/2018,West Penn Community Center,122
297,4/18/2018,Phillips Community Center,115
298,4/18/2018,Ormsby Community Center,59
299,4/18/2018,Paulson Community Center,20
300,4/18/2018,Ammon Community Center,86
301,4/18/2018,Brookline Community Center,60
302,4/18/2018,Jefferson Community Center,43
303,4/18/2018,Magee Community Center,14
304,4/18/2018,West Penn Community Center,75
305,4/18/2018,Warrington Community Center,15
306,4/17/2018,Paulson Community Center,17
307,4/17/2018,Ormsby Community Center,60
308,4/17/2018,Phillips Community Center,73
309,4/17/2018,Ammon Community Center,94
310,4/17/2018,Magee Community Center,13
311,4/17/2018,Jefferson Community Center,27
312,4/17/2018,Brookline Community Center,31
313,4/17/2018,Warrington Community Center,35
314,4/17/2018,West Penn Community Center,114
315,4/16/2018,Phillips Community Center,132
316,4/16/2018,Ormsby Community Center,52
317,4/16/2018,Paulson Community Center,21
318,4/16/2018,Ammon Community Center,83
319,4/16/2018,Brookline Community Center,54
320,4/16/2018,Jefferson Community Center,35
321,4/16/2018,Magee Community Center,15
322,4/16/2018,West Penn Community Center,42
323,4/16/2018,Warrington Community Center,10
324,4/14/2018,Magee Community Center,18
325,4/14/2018,Brookline Community Center,35
326,4/14/2018,West Penn Community Center,28
327,4/13/2018,Paulson Community Center,18
328,4/13/2018,Ormsby Community Center,63
329,4/13/2018,Phillips Community Center,107
330,4/13/2018,Ammon Community Center,62
378,4/6/2018,Ammon Community Center,53
331,4/13/2018,Brookline Community Center,34
332,4/13/2018,Magee Community Center,35
333,4/13/2018,West Penn Community Center,25
334,4/13/2018,Warrington Community Center,27
335,4/12/2018,Phillips Community Center,129
336,4/12/2018,Ormsby Community Center,51
337,4/12/2018,Paulson Community Center,24
338,4/12/2018,Ammon Community Center,104
339,4/12/2018,Magee Community Center,24
340,4/12/2018,Brookline Community Center,42
341,4/12/2018,Jefferson Community Center,26
342,4/12/2018,Warrington Community Center,19
343,4/12/2018,West Penn Community Center,104
344,4/11/2018,Paulson Community Center,36
345,4/11/2018,Ormsby Community Center,55
346,4/11/2018,Phillips Community Center,168
347,4/11/2018,Ammon Community Center,79
348,4/11/2018,Jefferson Community Center,43
349,4/11/2018,Brookline Community Center,65
350,4/11/2018,Magee Community Center,18
351,4/11/2018,West Penn Community Center,48
352,4/11/2018,Warrington Community Center,47
353,4/10/2018,Phillips Community Center,144
354,4/10/2018,Ormsby Community Center,58
355,4/10/2018,Paulson Community Center,22
356,4/10/2018,Ammon Community Center,118
357,4/10/2018,Magee Community Center,42
358,4/10/2018,Brookline Community Center,37
359,4/10/2018,Jefferson Community Center,24
360,4/10/2018,Warrington Community Center,38
361,4/10/2018,West Penn Community Center,55
362,4/9/2018,Paulson Community Center,21
363,4/9/2018,Ormsby Community Center,45
364,4/9/2018,Phillips Community Center,125
365,4/9/2018,Ammon Community Center,121
366,4/9/2018,Jefferson Community Center,29
367,4/9/2018,Brookline Community Center,57
368,4/9/2018,Magee Community Center,36
369,4/9/2018,West Penn Community Center,61
370,4/9/2018,Warrington Community Center,23
371,4/7/2018,Phillips Community Center,21
372,4/7/2018,Ammon Community Center,30
373,4/7/2018,Brookline Community Center,51
374,4/7/2018,West Penn Community Center,39
375,4/6/2018,Phillips Community Center,101
376,4/6/2018,Ormsby Community Center,71
377,4/6/2018,Paulson Community Center,21
379,4/6/2018,Brookline Community Center,37
380,4/6/2018,Jefferson Community Center,29
381,4/6/2018,Magee Community Center,43
382,4/6/2018,West Penn Community Center,48
383,4/6/2018,Warrington Community Center,23
384,4/5/2018,Paulson Community Center,21
385,4/5/2018,Ormsby Community Center,52
386,4/5/2018,Phillips Community Center,112
387,4/5/2018,Ammon Community Center,55
388,4/5/2018,Magee Community Center,39
389,4/5/2018,Jefferson Community Center,41
390,4/5/2018,Brookline Community Center,42
391,4/5/2018,Warrington Community Center,7
392,4/5/2018,West Penn Community Center,134
393,4/4/2018,Phillips Community Center,130
394,4/4/2018,Ormsby Community Center,63
395,4/4/2018,Paulson Community Center,17
396,4/4/2018,Ammon Community Center,119
397,4/4/2018,Brookline Community Center,71
398,4/4/2018,Jefferson Community Center,43
399,4/4/2018,Magee Community Center,51
400,4/4/2018,West Penn Community Center,27
401,4/4/2018,Warrington Community Center,12
402,4/3/2018,Paulson Community Center,20
403,4/3/2018,Ormsby Community Center,69
404,4/3/2018,Phillips Community Center,89
405,4/3/2018,Ammon Community Center,115
406,4/3/2018,Magee Community Center,42
407,4/3/2018,Jefferson Community Center,31
408,4/3/2018,Brookline Community Center,77
409,4/3/2018,Warrington Community Center,7
410,4/3/2018,West Penn Community Center,123
411,4/2/2018,Phillips Community Center,162
412,4/2/2018,Ormsby Community Center,31
413,4/2/2018,Paulson Community Center,18
414,4/2/2018,Ammon Community Center,116
415,4/2/2018,Brookline Community Center,68
416,4/2/2018,Jefferson Community Center,31
417,4/2/2018,Magee Community Center,40
418,4/2/2018,West Penn Community Center,63
419,4/2/2018,Warrington Community Center,30
420,3/29/2018,Paulson Community Center,16
421,3/29/2018,Ormsby Community Center,34
422,3/29/2018,Phillips Community Center,83
423,3/29/2018,Ammon Community Center,26
424,3/29/2018,Magee Community Center,39
425,3/29/2018,Jefferson Community Center,18
426,3/29/2018,Brookline Community Center,40
427,3/29/2018,Warrington Community Center,16
428,3/29/2018,West Penn Community Center,120
429,3/28/2018,Phillips Community Center,67
430,3/28/2018,Ormsby Community Center,31
431,3/28/2018,Paulson Community Center,15
432,3/28/2018,Ammon Community Center,66
433,3/28/2018,Brookline Community Center,36
434,3/28/2018,Jefferson Community Center,31
435,3/28/2018,Magee Community Center,25
436,3/28/2018,West Penn Community Center,95
437,3/28/2018,Warrington Community Center,81
438,3/27/2018,Paulson Community Center,16
439,3/27/2018,Ormsby Community Center,35
440,3/27/2018,Phillips Community Center,83
441,3/27/2018,Ammon Community Center,59
442,3/27/2018,Magee Community Center,27
443,3/27/2018,Jefferson Community Center,27
444,3/27/2018,Brookline Community Center,40
445,3/27/2018,Warrington Community Center,35
446,3/27/2018,West Penn Community Center,131
447,3/26/2018,Phillips Community Center,103
448,3/26/2018,Ormsby Community Center,23
449,3/26/2018,Paulson Community Center,22
450,3/26/2018,Ammon Community Center,55
451,3/26/2018,Brookline Community Center,67
452,3/26/2018,Jefferson Community Center,31
453,3/26/2018,Magee Community Center,24
454,3/26/2018,West Penn Community Center,58
455,3/26/2018,Warrington Community Center,17
456,3/24/2018,Phillips Community Center,15
457,3/24/2018,Ammon Community Center,156
458,3/24/2018,Magee Community Center,25
459,3/24/2018,Brookline Community Center,7
460,3/24/2018,West Penn Community Center,42
461,3/23/2018,Phillips Community Center,107
462,3/23/2018,Paulson Community Center,31
463,3/23/2018,Ormsby Community Center,38
464,3/23/2018,Ammon Community Center,100
465,3/23/2018,Brookline Community Center,52
466,3/23/2018,Jefferson Community Center,23
467,3/23/2018,Magee Community Center,82
468,3/23/2018,West Penn Community Center,45
469,3/23/2018,Warrington Community Center,15
470,3/22/2018,Ormsby Community Center,70
471,3/22/2018,Phillips Community Center,119
472,3/22/2018,Ammon Community Center,143
473,3/22/2018,Magee Community Center,41
474,3/22/2018,Jefferson Community Center,13
475,3/22/2018,Brookline Community Center,59
476,3/22/2018,Warrington Community Center,26
477,3/22/2018,West Penn Community Center,58
478,3/21/2018,Phillips Community Center,33
479,3/21/2018,Ormsby Community Center,18
480,3/21/2018,Ammon Community Center,30
481,3/21/2018,Brookline Community Center,24
482,3/21/2018,Jefferson Community Center,4
483,3/21/2018,Magee Community Center,22
484,3/21/2018,West Penn Community Center,31
485,3/21/2018,Warrington Community Center,15
486,3/20/2018,Ormsby Community Center,57
487,3/20/2018,Phillips Community Center,108
488,3/20/2018,Ammon Community Center,145
489,3/20/2018,Magee Community Center,20
490,3/20/2018,Jefferson Community Center,20
491,3/20/2018,Brookline Community Center,70
492,3/20/2018,Warrington Community Center,16
493,3/20/2018,West Penn Community Center,120
494,3/19/2018,Phillips Community Center,172
495,3/19/2018,Ormsby Community Center,33
496,3/19/2018,Ammon Community Center,116
497,3/19/2018,Brookline Community Center,62
498,3/19/2018,Jefferson Community Center,36
499,3/19/2018,Magee Community Center,56
500,3/19/2018,West Penn Community Center,42
501,3/19/2018,Warrington Community Center,18
502,3/17/2018,Phillips Community Center,57
503,3/17/2018,Ammon Community Center,101
504,3/17/2018,Magee Community Center,31
505,3/17/2018,Brookline Community Center,28
506,3/17/2018,West Penn Community Center,33
507,3/16/2018,Phillips Community Center,84
508,3/16/2018,Ormsby Community Center,68
509,3/16/2018,Ammon Community Center,99
510,3/16/2018,Brookline Community Center,49
511,3/16/2018,Jefferson Community Center,21
512,3/16/2018,Magee Community Center,67
513,3/16/2018,West Penn Community Center,49
514,3/16/2018,Warrington Community Center,19
515,3/15/2018,Ormsby Community Center,61
516,3/15/2018,Phillips Community Center,49
517,3/15/2018,Ammon Community Center,105
518,3/15/2018,Magee Community Center,27
519,3/15/2018,Jefferson Community Center,27
520,3/15/2018,Brookline Community Center,29
521,3/15/2018,Warrington Community Center,17
666,2/21/2018,Magee Community Center,57
522,3/15/2018,West Penn Community Center,50
523,3/14/2018,Phillips Community Center,220
524,3/14/2018,Ormsby Community Center,61
525,3/14/2018,Paulson Community Center,29
526,3/14/2018,Ammon Community Center,88
527,3/14/2018,Brookline Community Center,82
528,3/14/2018,Jefferson Community Center,33
529,3/14/2018,Magee Community Center,40
530,3/14/2018,West Penn Community Center,72
531,3/14/2018,Warrington Community Center,31
532,3/13/2018,Paulson Community Center,29
533,3/13/2018,Ormsby Community Center,57
534,3/13/2018,Phillips Community Center,106
535,3/13/2018,Ammon Community Center,91
536,3/13/2018,Magee Community Center,37
537,3/13/2018,Jefferson Community Center,33
538,3/13/2018,Brookline Community Center,62
539,3/13/2018,Warrington Community Center,13
540,3/13/2018,West Penn Community Center,118
541,3/12/2018,Phillips Community Center,118
542,3/12/2018,Ormsby Community Center,64
543,3/12/2018,Paulson Community Center,35
544,3/12/2018,Ammon Community Center,44
545,3/12/2018,Brookline Community Center,68
546,3/12/2018,Jefferson Community Center,32
547,3/12/2018,Magee Community Center,55
548,3/12/2018,West Penn Community Center,42
549,3/12/2018,Warrington Community Center,27
550,3/10/2018,Phillips Community Center,11
551,3/10/2018,Ammon Community Center,171
552,3/10/2018,Magee Community Center,34
553,3/10/2018,Brookline Community Center,62
554,3/10/2018,West Penn Community Center,48
555,3/9/2018,Phillips Community Center,130
556,3/9/2018,Paulson Community Center,28
557,3/9/2018,Ormsby Community Center,72
558,3/9/2018,Ammon Community Center,97
559,3/9/2018,Brookline Community Center,54
560,3/9/2018,Magee Community Center,65
561,3/9/2018,West Penn Community Center,67
562,3/9/2018,Warrington Community Center,33
563,3/8/2018,Ormsby Community Center,38
564,3/8/2018,Paulson Community Center,32
565,3/8/2018,Phillips Community Center,90
566,3/8/2018,Ammon Community Center,102
567,3/8/2018,Magee Community Center,24
568,3/8/2018,Brookline Community Center,77
569,3/8/2018,Warrington Community Center,13
570,3/8/2018,West Penn Community Center,64
571,3/7/2018,Phillips Community Center,139
572,3/7/2018,Paulson Community Center,27
573,3/7/2018,Ormsby Community Center,57
574,3/7/2018,Ammon Community Center,84
575,3/7/2018,Brookline Community Center,76
576,3/7/2018,Magee Community Center,53
577,3/7/2018,West Penn Community Center,72
578,3/7/2018,Warrington Community Center,19
579,3/6/2018,Ormsby Community Center,49
580,3/6/2018,Paulson Community Center,26
581,3/6/2018,Phillips Community Center,143
582,3/6/2018,Ammon Community Center,91
583,3/6/2018,Magee Community Center,26
584,3/6/2018,Brookline Community Center,88
585,3/6/2018,Warrington Community Center,11
586,3/6/2018,West Penn Community Center,104
587,3/5/2018,Phillips Community Center,156
588,3/5/2018,Paulson Community Center,38
589,3/5/2018,Ormsby Community Center,43
590,3/5/2018,Ammon Community Center,26
591,3/5/2018,Brookline Community Center,76
592,3/5/2018,Magee Community Center,51
593,3/5/2018,West Penn Community Center,65
594,3/5/2018,Warrington Community Center,29
595,3/3/2018,Phillips Community Center,59
596,3/3/2018,Ammon Community Center,2
597,3/3/2018,Magee Community Center,15
598,3/3/2018,Brookline Community Center,59
599,3/3/2018,West Penn Community Center,48
600,3/2/2018,Phillips Community Center,158
601,3/2/2018,Ormsby Community Center,36
602,3/2/2018,Paulson Community Center,30
603,3/2/2018,Ammon Community Center,63
604,3/2/2018,Brookline Community Center,59
605,3/2/2018,Magee Community Center,60
606,3/2/2018,West Penn Community Center,54
607,3/2/2018,Warrington Community Center,26
608,3/1/2018,Paulson Community Center,26
609,3/1/2018,Ormsby Community Center,48
610,3/1/2018,Phillips Community Center,121
611,3/1/2018,Ammon Community Center,102
612,3/1/2018,Magee Community Center,25
613,3/1/2018,Brookline Community Center,35
614,3/1/2018,Warrington Community Center,16
615,3/1/2018,West Penn Community Center,103
616,2/28/2018,Phillips Community Center,165
617,2/28/2018,Ormsby Community Center,43
618,2/28/2018,Paulson Community Center,24
619,2/28/2018,Ammon Community Center,81
620,2/28/2018,Brookline Community Center,57
621,2/28/2018,Magee Community Center,32
622,2/28/2018,West Penn Community Center,71
623,2/28/2018,Warrington Community Center,19
624,2/27/2018,Paulson Community Center,26
625,2/27/2018,Ormsby Community Center,52
626,2/27/2018,Phillips Community Center,140
627,2/27/2018,Ammon Community Center,115
628,2/27/2018,Magee Community Center,50
629,2/27/2018,Brookline Community Center,57
630,2/27/2018,Warrington Community Center,24
631,2/27/2018,West Penn Community Center,111
632,2/26/2018,Phillips Community Center,148
633,2/26/2018,Ormsby Community Center,46
634,2/26/2018,Paulson Community Center,29
635,2/26/2018,Ammon Community Center,99
636,2/26/2018,Brookline Community Center,70
637,2/26/2018,Magee Community Center,66
638,2/26/2018,West Penn Community Center,73
639,2/26/2018,Warrington Community Center,22
640,2/24/2018,Phillips Community Center,27
641,2/24/2018,Ammon Community Center,72
642,2/24/2018,Magee Community Center,23
643,2/24/2018,Brookline Community Center,36
644,2/24/2018,West Penn Community Center,39
645,2/23/2018,Phillips Community Center,76
646,2/23/2018,Paulson Community Center,28
647,2/23/2018,Ormsby Community Center,55
648,2/23/2018,Ammon Community Center,87
649,2/23/2018,Brookline Community Center,59
650,2/23/2018,Magee Community Center,65
651,2/23/2018,West Penn Community Center,48
652,2/23/2018,Warrington Community Center,21
653,2/22/2018,Ormsby Community Center,66
654,2/22/2018,Paulson Community Center,31
655,2/22/2018,Phillips Community Center,80
656,2/22/2018,Ammon Community Center,118
657,2/22/2018,Magee Community Center,44
658,2/22/2018,Brookline Community Center,50
659,2/22/2018,Warrington Community Center,20
660,2/22/2018,West Penn Community Center,136
661,2/21/2018,Phillips Community Center,119
662,2/21/2018,Paulson Community Center,26
663,2/21/2018,Ormsby Community Center,48
664,2/21/2018,Ammon Community Center,25
665,2/21/2018,Brookline Community Center,65
667,2/21/2018,West Penn Community Center,74
668,2/21/2018,Warrington Community Center,20
669,2/20/2018,Ormsby Community Center,57
670,2/20/2018,Paulson Community Center,36
671,2/20/2018,Phillips Community Center,121
672,2/20/2018,Ammon Community Center,98
673,2/20/2018,Magee Community Center,43
674,2/20/2018,Brookline Community Center,72
675,2/20/2018,Warrington Community Center,20
676,2/20/2018,West Penn Community Center,118
677,2/19/2018,Phillips Community Center,109
678,2/19/2018,Paulson Community Center,26
679,2/19/2018,Ormsby Community Center,54
680,2/19/2018,Ammon Community Center,102
681,2/19/2018,Brookline Community Center,74
682,2/19/2018,Magee Community Center,80
683,2/19/2018,West Penn Community Center,67
684,2/19/2018,Warrington Community Center,26
685,2/17/2018,Phillips Community Center,9
686,2/17/2018,Magee Community Center,1
687,2/17/2018,West Penn Community Center,34
688,2/16/2018,Phillips Community Center,99
689,2/16/2018,Ormsby Community Center,72
690,2/16/2018,Paulson Community Center,22
691,2/16/2018,Ammon Community Center,112
692,2/16/2018,Magee Community Center,68
693,2/16/2018,Brookline Community Center,52
